tweet_number,word,tf-idf_score
0,Congrats,0.2515776469412312
0,HonJohnBaird,0.29990611085553603
0,JohnKerry,0.29990611085553603
0,Making,0.29990611085553603
0,RT,0.08762827119566895
0,SamuelAdamsBeer,0.29990611085553603
0,TeamCanada,0.216268677753786
0,case,0.2834972028347785
0,close,0.29990611085553603
0,good,0.27076946496173526
0,http,0.09498243453738056
0,ones,0.29990611085553603
0,promise,0.29990611085553603
0,way,0.29990611085553603
1,This,0.527285860913585
1,cracked,0.6008201148765825
1,gocanada,0.6008201148765825
2,GoCanadaGo,0.27512231562901895
2,relive,0.6003493825401737
2,sunday,0.5032185463173858
2,wait,0.557368302802353
3,3VrIsodH2T,0.7516036374020746
3,https,0.6596150182068103
4,4awSs0mWrs,0.33645629915268077
4,Canada,0.18407656062547442
4,RT,0.09126952514081055
4,USAvsCanada,0.24084204167853152
4,beat,0.33645629915268077
4,didn,0.33645629915268077
4,distracted,0.33645629915268077
4,freedom,0.33645629915268077
4,http,0.09892927908605499
4,humancasino,0.33645629915268077
4,notice,0.33645629915268077
4,sorry,0.31236823403135844
5,CDNOlympicTeam,0.23896412126995428
5,Charle,0.288085945437981
5,Cournoyer,0.288085945437981
5,RT,0.12561480243734202
5,Short,0.28341243059436805
5,WeAreWinter,0.21413375644205104
5,bringing,0.288085945437981
5,bronze,0.2789916647930795
5,home,0.2708084158583572
5,http,0.2723139367382734
5,qkmdep8Lha,0.288085945437981
5,skater,0.288085945437981
5,speed,0.28341243059436805
5,track,0.28341243059436805
6,85k,0.3132270268124058
6,Canada,0.1713677346382698
6,HoneyBadger49er,0.3132270268124058
6,LeftyBollocks,0.3132270268124058
6,Lmfaooo,0.3132270268124058
6,RT,0.16993637551403487
6,USAvsCanada,0.22421407129656018
6,WH,0.3132270268124058
6,http,0.09209910478970691
6,invasion,0.3132270268124058
6,military,0.3132270268124058
6,petition,0.3132270268124058
6,signatures,0.3132270268124058
7,Canada,0.2081645071204061
7,Every,0.3804843997665452
7,FredoCupcakes,0.3804843997665452
7,RT,0.10321290039043163
7,fbgxQkl36y,0.3804843997665452
7,fucking,0.3804843997665452
7,hockeycanada,0.3804843997665452
7,http,0.11187499674456534
7,school,0.3804843997665452
7,today,0.2547319168802126
8,Babcock,0.3412816813455936
8,Bowman,0.3675993874031877
8,Game,0.3081252929310961
8,Scotty,0.3675993874031877
8,USAHockey,0.3081252929310961
8,decades,0.3675993874031877
8,hockey,0.22147377851406838
8,look,0.3675993874031877
8,set,0.322608971735262
9,Canada,0.20108326410572017
9,Hard,0.3225579577409622
9,RT,0.09970185213333145
9,So,0.28624046798067865
